GroupID,PXD,SampleGroup,Category,ScopeStatus,InAnalysisNow,Source,CurrentGSE,CurrentReferenceKey,CurrentSamples,MatrixQCComplete,ExpressionStatus,ExpressionReferenceKey,ExpressionSamples,ExpressionGenes,DataSituation,RequiredBeforeStart,SelectedSamplePerturbation,VehicleExposure,StableID,MatrixSampleN,NumericQCPass,EvidenceStatus,AssayAndUnits,Limitations
KLA31_11,PXD066054,prostate cancer,cancer_tissue,QUEUED_SELECTION_AND_MATRIX_QC,FALSE,TCGA-PRAD,TCGA-PRAD,TCGA_PRAD_primary,Primary Tumor; UUID pending,FALSE,EXPRESSION_MATRIX_READY,TCGA_PRAD_primary,501,60386,GDC STAR-count files are downloaded; Primary Tumor sample selector is not frozen.,Freeze primary-tumor UUIDs/donors and run source-local QC.,,,"",,FALSE,cohort_candidate,GDC bulk RNA; STAR counts/TPM,核对组织学、术前治疗和独立病例；不预填499例。
KLA31_12,PXD075377,HCC,cancer_tissue,QUEUED_SELECTION_AND_MATRIX_QC,FALSE,TCGA-LIHC,TCGA-LIHC,TCGA_LIHC_primary,Primary Tumor; UUID pending,FALSE,EXPRESSION_MATRIX_READY,TCGA_LIHC_primary,371,60386,GDC STAR-count files are downloaded; Primary Tumor sample selector is not frozen.,Freeze primary-tumor UUIDs/donors and run source-local QC.,,,"",,FALSE,cohort_candidate,GDC bulk RNA; STAR counts/TPM,核对HCC组织学及治疗；不预填371例；与本项目蛋白组不是同受试者。
KLA31_13,PXD060185,MCF7,cancer_cells,STARTED_SOURCE_LOCAL,TRUE,DepMap,GSE157383,MCF7_DMSO7d,GSM4763907;GSM4763908;GSM4763909,TRUE,EXPRESSION_MATRIX_READY,MCF7_DMSO7d,3,27400,Stable-ID count matrix validated.,None; source-local analysis started.,vehicle only,TRUE,Entrez,3,TRUE,model_id_verified,bulk; DepMap Public 24Q4; OmicsExpressionProteinCodingGenesTPMLogp1.csv (source scale),"MCF7身份核实；固定同一release、Model及OmicsProfiles后才能锁定表达行和是否log2(TPM+1)。 DepMap Public 24Q4 expression, Model and OmicsProfiles files were downloaded and passed published MD5 checks; retain source scale and resolve duplicate stable-ID columns before analysis."
KLA31_14,PXD028488,HCT116,cancer_cells,STARTED_SOURCE_LOCAL,TRUE,DepMap,GSE253699,HCT116_control,GSM8026675;GSM8026676;GSM8026677,TRUE,EXPRESSION_MATRIX_READY,HCT116_control,3,58228,Stable-ID count matrix validated.,None; source-local analysis started.,none,FALSE,Ensembl,3,TRUE,model_id_verified,bulk; DepMap Public 24Q4; OmicsExpressionProteinCodingGenesTPMLogp1.csv (source scale),"HCT116身份核实；与另外两组共享RNA参照，不构成三份独立转录组。 DepMap Public 24Q4 expression, Model and OmicsProfiles files were downloaded and passed published MD5 checks; retain source scale and resolve duplicate stable-ID columns before analysis."
KLA31_15,PXD053474,HCT116,cancer_cells,STARTED_SOURCE_LOCAL,TRUE,DepMap,GSE253699,HCT116_control,GSM8026675;GSM8026676;GSM8026677,TRUE,EXPRESSION_MATRIX_READY,HCT116_control,3,58228,Stable-ID count matrix validated.,None; source-local analysis started.,none,FALSE,Ensembl,3,TRUE,model_id_verified,bulk; DepMap Public 24Q4; OmicsExpressionProteinCodingGenesTPMLogp1.csv (source scale),"同一HCT116外部基线；全细胞RNA不能视为亚细胞分画匹配。 DepMap Public 24Q4 expression, Model and OmicsProfiles files were downloaded and passed published MD5 checks; retain source scale and resolve duplicate stable-ID columns before analysis."
KLA31_16,PXD066351,HCT116 control and Roseburia co-culture,cancer_cells,STARTED_SOURCE_LOCAL,TRUE,DepMap,GSE253699,HCT116_control,GSM8026675;GSM8026676;GSM8026677,TRUE,EXPRESSION_MATRIX_READY,HCT116_control,3,58228,Stable-ID count matrix validated.,None; source-local analysis started.,none,FALSE,Ensembl,3,TRUE,model_id_verified,bulk; DepMap Public 24Q4; OmicsExpressionProteinCodingGenesTPMLogp1.csv (source scale),"只代表外部基线；不能代表Roseburia共培养，蛋白组混合条件保持原状。 DepMap Public 24Q4 expression, Model and OmicsProfiles files were downloaded and passed published MD5 checks; retain source scale and resolve duplicate stable-ID columns before analysis."
KLA31_17,PXD028488,TALL-104,cancer_cells,QUEUED_SELECTION_AND_MATRIX_QC,FALSE,GSE163787,GSE163787,GSE163787_TALL104,GSM4987488; SRX9725233,FALSE,EXPRESSION_MATRIX_READY,GSE163787_TALL104,1,30853,"Single exact TALL-104 bulk library (GSM4987488) accepted per Plan A decision as n=1 descriptive reference; author table contains 32,738 Ensembl IDs.",Extract TALL-104 column and human Ensembl IDs as n=1 descriptive reference; run source-local QC.,,,"",,FALSE,material_verified,TruSeq Stranded mRNA bulk; FPKM,真正bulk子系列，不是混合细胞scRNA伪bulk；仅一个TALL104库，不能估计组内生物变异；混合物种参考需只取人类Ensembl。 [2026-09-16 expression build] Accepted as a single-sample descriptive reference: no within-group variance is estimable and this row cannot carry an error bar.
KLA31_18,PXD050147,HepG2 WT and SIRT1 or SIRT3 KO,cancer_cells,STARTED_SOURCE_LOCAL,TRUE,DepMap,GSE158552,HepG2_DMSO24h,GSM4802741;GSM4802742;GSM4802743,TRUE,EXPRESSION_MATRIX_READY,HepG2_DMSO24h,3,27400,Stable-ID count matrix validated.,None; source-local analysis started.,vehicle only,TRUE,Entrez,3,TRUE,model_id_verified,bulk; DepMap Public 24Q4; OmicsExpressionProteinCodingGenesTPMLogp1.csv (source scale),"修正原ACH-000657；外部亲本基线不匹配SIRT1/3 KO。 DepMap Public 24Q4 expression, Model and OmicsProfiles files were downloaded and passed published MD5 checks; retain source scale and resolve duplicate stable-ID columns before analysis."
KLA31_19,PXD054919,A549,cancer_cells,QUEUED_SELECTION_AND_MATRIX_QC,FALSE,DepMap,GSE171750,GSE171750_A549_untreated,GSM5233375;GSM5233376;GSM5233377,FALSE,EXPRESSION_MATRIX_READY,GSE171750_A549_untreated,3,22360,Three untreated A549 biological replicates confirmed in GSE171750; author RSEM table uses gene symbols.,Map candidate count matrix from Symbol to Ensembl/Entrez and run source-local QC.,,,"",,FALSE,model_id_verified,bulk; DepMap Public 24Q4; OmicsExpressionProteinCodingGenesTPMLogp1.csv (source scale),"模型ID正确；原备用ENCODE指向H1应移除。 DepMap Public 24Q4 expression, Model and OmicsProfiles files were downloaded and passed published MD5 checks; retain source scale and resolve duplicate stable-ID columns before analysis."
KLA31_20,PXD060185,MDA-MB-468,cancer_cells,STARTED_SOURCE_LOCAL,TRUE,DepMap,GSE157383,MDAMB468_DMSO7d,GSM4763917;GSM4763918;GSM4763919,TRUE,EXPRESSION_MATRIX_READY,MDAMB468_DMSO7d,3,27400,Stable-ID count matrix validated.,None; source-local analysis started.,vehicle only,TRUE,Entrez,3,TRUE,model_id_verified,bulk; DepMap Public 24Q4; OmicsExpressionProteinCodingGenesTPMLogp1.csv (source scale),"MDA-MB-468模型ID核实；固定release及表达profile。 DepMap Public 24Q4 expression, Model and OmicsProfiles files were downloaded and passed published MD5 checks; retain source scale and resolve duplicate stable-ID columns before analysis."
KLA31_21,PXD060185,T-47D,cancer_cells,QUEUED_SELECTION_AND_MATRIX_QC,FALSE,DepMap,GSE283812,GSE283812_T47D_vehicle,GSM8672552;GSM8672553;GSM8672554;GSM8672555,FALSE,EXPRESSION_MATRIX_READY,GSE283812_T47D_vehicle,4,18815,Four T-47D vehicle control replicates confirmed in GSE283812; author count table uses gene symbols.,Map candidate count matrix from Symbol to Ensembl/Entrez and run source-local QC.,,,"",,FALSE,model_id_verified,bulk; DepMap Public 24Q4; OmicsExpressionProteinCodingGenesTPMLogp1.csv (source scale),"修正原ACH-000934；亲本癌细胞并不意味着所有基因野生型。 DepMap Public 24Q4 expression, Model and OmicsProfiles files were downloaded and passed published MD5 checks; retain source scale and resolve duplicate stable-ID columns before analysis."
KLA31_22,PXD063266,PC-3M,cancer_cells,STARTED_SOURCE_LOCAL,TRUE,GSE235595,GSE235595,PC3M_DMSO,GSM7506018;GSM7506019;GSM7506020,TRUE,EXPRESSION_MATRIX_READY,PC3M_DMSO,3,27400,Stable-ID count matrix validated.,None; source-local analysis started.,vehicle only,TRUE,Entrez,3,TRUE,material_verified,bulk RNA-seq; hg19; processed transcript counts indexed by RefSeq NM,"Exact PC-3M cell identity, DMSO 4-day controls. Exclude KMI169 and KMI169Ctrl. RefSeq NM must map through versioned stable identifiers to Ensembl/Entrez; not a symbol join. Matrix not yet validated."
KLA31_23,PXD070007,glioblastoma stem cells,cancer_cells,QUEUED_SELECTION_AND_MATRIX_QC,FALSE,GSE266884,GSE266884,GSE266884_MES28_vector_control,GSM8255530;GSM8255531;GSM8255534;GSM8255535,FALSE,EXPRESSION_MATRIX_READY,GSE266884_MES28_vector_control,4,27400,Four unperturbed MES28 vector control replicates (shMCT1-Ctrl + shKU70-Ctrl) confirmed; NCBI Entrez counts matrix is downloaded.,Extract the four control samples from NCBI Entrez matrix and run source-local QC.,,,"",,FALSE,material_verified,bulk RNA-seq; SMARTER mRNA; hg38; reported FPKM (verify quantifier units),"Same paper as PXD069969/PXD070007; exact MES28 model only, not all six GSC models. shMCT1 control vector; separate shKU70 controls GSM8255534/35 are alternatives, not automatically four independent replicates. Do not use MES28 RNA for NSC. No matrix acceptance yet."
KLA31_24,PXD078013,RKO WT and GSK3B KO,cancer_cells,STARTED_SOURCE_LOCAL,TRUE,DepMap,GSE318640,RKO_DMSO,GSM9499692;GSM9499693;GSM9499694,TRUE,EXPRESSION_MATRIX_READY,RKO_DMSO,3,58228,Stable-ID count matrix validated.,None; source-local analysis started.,vehicle only,TRUE,Ensembl,3,TRUE,model_id_verified,bulk; DepMap Public 24Q4; OmicsExpressionProteinCodingGenesTPMLogp1.csv (source scale),"修正原ACH-000742；外部基线不能代表GSK3B KO。 DepMap Public 24Q4 expression, Model and OmicsProfiles files were downloaded and passed published MD5 checks; retain source scale and resolve duplicate stable-ID columns before analysis."
KLA31_25,PXD028488,HEK293T,normal_cells,QUEUED_SELECTION_AND_MATRIX_QC,FALSE,GSE203529,GSE203529,GSE203529_HEK293T_WT,GSM6175912;GSM6175918;GSM6175922 (WT untreated HEK293T),FALSE,EXPRESSION_MATRIX_READY,GSE203529_HEK293T_WT,3,60337,WT untreated HEK293T RSEM gene files are identified; source-local matrix QC has not run.,Validate three selected WT untreated RSEM files.,,,"",,FALSE,material_verified,"human bulk stranded mRNA; source RSEM gene-level expected_count, TPM and FPKM; versioned Ensembl IDs",Three WT untreated HEK293T RSEM gene-result files are present in the GEO archive. Exclude IFN-beta and all ZAPL/ZAPS knockout samples; strip Ensembl version only under a recorded mapping rule.
KLA31_26,PXD028737,HMC3,normal_cells,QUEUED_SELECTION_AND_MATRIX_QC,FALSE,GSE275256,GSE275256,GSE275256_HMC3_vehicle,GSM8473662;GSM8473663;GSM8473664,FALSE,EXPRESSION_MATRIX_READY,GSE275256_HMC3_vehicle,3,61365,Three HMC3 vehicle baseline candidates and a STAR count matrix are identified; source-local matrix QC has not run.,Validate three selected HMC3 vehicle files and exclude SLO arm.,,,"",,FALSE,material_verified,human bulk polyA; STAR counts/TPM; GENCODE40,vehicle基线；排除SLO。是HMC3永生化模型而非原代小胶质。
KLA31_27,PXD058534,pretreated HK-2,normal_cells,STARTED_SOURCE_LOCAL,TRUE,GSE269418,GSE240748,HK2_untreated,GSM7708662;GSM7708663;GSM7708664,TRUE,EXPRESSION_MATRIX_READY,HK2_untreated,3,27400,Stable-ID count matrix validated.,None; source-local analysis started.,none,FALSE,Entrez,3,TRUE,material_verified,human bulk polyA; Salmon; Ensembl111,5个常氧溶剂24h对照候选；排除BAY/缺氧/TGF；不能代表原pretreatment条件；与下一组共享参照。
KLA31_28,PXD078736,HK-2 control and mannitol,normal_cells,STARTED_SOURCE_LOCAL,TRUE,GSE269418,GSE240748,HK2_untreated,GSM7708662;GSM7708663;GSM7708664,TRUE,EXPRESSION_MATRIX_READY,HK2_untreated,3,27400,Stable-ID count matrix validated.,None; source-local analysis started.,none,FALSE,Entrez,3,TRUE,material_verified,human bulk polyA; Salmon; Ensembl111,共享HK2基线；不是mannitol条件匹配，甘露醇也不自动等于无扰动。
KLA31_29,PXD060185,MCF10A,normal_cells,QUEUED_SELECTION_AND_MATRIX_QC,FALSE,GSE103520,GSE103520,GSE103520_MCF10A_control,GSM2773021;GSM2773022;GSM2773023,FALSE,EXPRESSION_MATRIX_READY,GSE103520_MCF10A_control,3,57413,recount3 route and untreated MCF10A candidate libraries are identified; exact independent sample map/QC remains.,Validate independent MCF10A samples and source-local matrix.,,,"",,FALSE,material_verified,human bulk; Ovation cDNA; FPKM diff files,"3个未处理MCF10A；排除其他细胞及转染。处理diff文件不是原始counts，优先获取完整表达或原始reads。 [2026-09-16 expression build] recount3 sra.gene_sums holds base-level coverage sums rather than read counts, so the archived counts block for this group is on a coverage scale; the derived TPM is unaffected because the conversion cancels the read-length factor."
KLA31_30,PXD070007,neural stem cells,normal_cells,QUEUED_SELECTION_AND_MATRIX_QC,FALSE,GSE119834,GSE119834,GSE119834_NSC,GSM3384847-GSM3384855,FALSE,EXPRESSION_MATRIX_READY,GSE119834_NSC,8,27400,"Nine untreated, category-matched NSC libraries are selected by user decision. The downloaded author FPKM matrix is keyed only by gene symbol.",Requantify the nine selected raw RNA-seq libraries against Ensembl; do not analyse the author gene-symbol FPKM table.,,,"",,FALSE,approximate,human bulk; FPKM,"9个NSC库；对应本项目两个具体NSC模型和发育年龄尚未证明，作为外部NSC面板。 [2026-09-16 expression build] Eight of the nine selected libraries are available. GSM3384848 (NSC10, NM55) exists in GEO as an untreated NSC RNA-seq library but is absent from NCBI's reprocessed count table, so it could not be included without de-novo requantification. The protein-matched ENSA model (GSM3384849) is present."
KLA31_31,PXD073311,HUVEC control and Pg infection,normal_cells,STARTED_SOURCE_LOCAL,TRUE,ENCSR000COZ,GSE203551,HUVEC_untreated,GSM6176178;GSM6176183;GSM6176188;GSM6176193,TRUE,EXPRESSION_MATRIX_READY,HUVEC_untreated,4,27400,Stable-ID count matrix validated.,None; source-local analysis started.,none,FALSE,Entrez,4,TRUE,material_verified,human HUVEC whole-cell bulk polyA,官方元数据确认HUVEC全细胞；继续锁定donor/replicates/file assembly；未感染基线不代表Pg感染条件。
